,label,data
0,0,옛날에 그 연극과 신원이가 우리 과 듣다가 좌절한 얘기 못 들었나
1,0,몇 개 들었나
2,0,나 고전문학사 저번에 들었나
3,0,왜 안 들었나
4,0,다 안 들었나
5,0,누가 오토를 따나
6,0,에너지가 딸리나
7,0,왜 때리나
8,0,왜 때리나
9,0,똑같나
10,0,아 걔 이번달에 풀루 뛰나
11,0,보통 그냥 두 개 다 있는 사람 많나
12,0,내 형한테 말했나
13,0,누가 재학 오빠가 말했나
14,0,내가 이거 본 장면이 맞나
15,0,그믄 이게 맞나
16,0,그 말이 맞나
17,0,맞나
18,0,거 맞나
19,0,맞긴 맞나
20,0,하이스트라고 쓴 게 맞나
21,0,열 두 시 수업 맞나
22,0,맞먹나
23,0,팔십이 넘었다 그래서 아우 노인한테 주례를 맡기나
24,0,고기도 먹나
25,0,과연 얼마나 먹나
26,0,어제 한 시까지 먹었나
27,0,여기 아직도 멀으셨나
28,0,재채기하면 이런 냄새 나는 거 모르나
29,0,스타일 보면 모르나
30,0,아 그러면 잘하는 애들도 몰리나
31,0,모래로 문질렀나
32,0,저거 미쳤나
33,0,저 새끼들이 미쳤나
34,0,허허 자네 미쳤나
35,0,얘가 미쳤나
36,0,저게 돌이 미쳤나
37,0,저렇게 뭐 보건복지부 장관이 직접 얘기한다고 바뀌나
38,0,애가 바뀌었나
39,0,유학생들 많이 받겠나
40,0, 배웠나
41,0,갈비집이 그렇게 돈 잘 버나
42,0,그거밖에 못 버나
43,0,버렸나
44,0,차선 변경하나
45,0,차선이 변경하나
46,0,뭘 보나
47,0,내가 모는 것두 아닌데 뭐 하러 주의깊게 보나
48,0, 수학 보나
49,0,그럼 언제 영화를 보나
0,0,채점할 때 우리 나라에서 안 해
1,0,별루 볼 볼 생각도 안 해
2,0,여자가 계속 거부를 해
3,0,딱 둘이서 서게 해
4,0,너네 뭐 해
5,0,그럼 두 시간 해
6,0,선생님은 해석 안 해
7,0,회의를 일찍 해
8,0,삼 대 이 쿼터제 해
9,0,맞음 뭐 해
10,0,그러고 보니까 또 궁금하기도 해
11,0,어떻게 해
12,0,요걸 일단 조정을 해
13,0,원하게 해
14,0,힘들어 해
15,0,막 해
16,0,천 명을 천 명하고 싸워도 이긴다고 해
17,0,왜 자꾸 그 얘길 해
18,0,난 방돌이 인제 더이상 안 해
19,0,같이 해
20,0,되게 많이 생각을 해
21,0,해
22,0,우리 시배들 수고했네 이런 말 안 해
23,0,그래서 내가 너랑 연습을 해
24,0,엄청나게 정치를 잘할 거라는 그런 기대는 안 해
25,0,별루 기대 안 해
26,0,내가 본 애들은 전부 다 말을 잘 해
27,0,아유 못 해
28,0,먹는 걸 본 거 같기두 해
29,0,에쓰 발음을 거의 안 해
30,0,마취 다 해
31,0,짠밥이 얼만데 뭐 이걸 해
32,0,지가 지가 알아서 해
33,0,이거 정리 좀 해
34,0,그걸 어떻게 해
35,0,너 말 안 한다면서 왜 말 해
36,0,애들이 안 해
37,0,지지리 안 해
38,0,그러더니 자기 얘기를 또 막 해
39,0,그리고 아 지금 해 갖고 언제 해
40,0,닐다이아몬드를 납치를 다시 해
41,0,막 그런 식으로 계속 얘기를 해
42,0,그 여자가 인제 인식을 해
43,0,그까 위협 도구로만 사용을 해
44,0,걔는 머리 쓰는 것만 하고 액션은 잘 못 해
45,0,남이 오바이트 하는 거 보면 오바이트 같이 해
46,0,그거 어떻게 욕을 해
47,0,헌법 수정 오조를 쓰도록 해
48,0,나 물 조절 못 해
49,0,나 밥 못 해
0,0,특별히 차이가 없지 않았나
1,0,이렇게 올려놓지 않았나
2,0,은지 씨가 그걸 막 하지 않았나
3,0,일년 있는 걸로 하고서 오지 않았나
4,0,백일 백일 휴가 나올 때 되지 않았나
5,0,뭐 영화 같은 거 하지 않았나
6,0,여자 친구 있다 그러지 않았나
7,0,여명두 나이가 정말 한 사십대 되지 않았나
8,0,옛날에는 저기 자대까지 알 수 있다 막 그러지 않았었나
9,0,랑 좀 친하지 않았었나
10,0,이가 먼저 알았나
11,0,저번에 한 번 얘기했나
12,0,남북한 전쟁 나면 어떡하나
13,0,어뜩하나
14,0,여자 안에 있나 없나
15,0,여기는 군대 가는 사람 아무도 없나
16,0,없나
18,0,어 영어 회화 재수강하는 애 없나
19,0,그런 욕심 없나
20,0,혹시나 신형섭이라는 사람이 있나 없나
21,0,할 그런 거 없나
22,0,나밖에 없나
23,0,그럼 좀 어떻게 할 수 없나
24,0,콘솔에 대한 질문 없나
25,0,크게 보는 게 뭐가 없나
26,0,큰 그림 없나
27,0,뭐 없나
28,0,저 저 거 없나
29,0,치 고칠 수는 없나
30,0,없나 없나
32,0,토론 막 백분토론 이런 거 없나
33,0,옛날에 영어 공용화 했던 거 뭐 이렇게 인터넷 화면 이런 거 없나
34,0,뭔가 좀 활기차고 좀 이렇게 액티브한 방학 보낼 수 없나
35,0,재미 없나
36,0,머리 좋은 사람 없나
37,0,하나로 나오는 거 없나
38,0,휴지통 없나
39,0,너랑 너랑 한번도 가 본 적 없나
