,label,data
0,1,고런 거 방송 날짜는 몇 월 며칠이며 고런 게 있을 게 아니에요
1,1,아 한쪽 분이 내일 오신다는 분 아니에요
2,1,그건 꿈꾸는 거 아니에요
3,1,장난 아니에요
5,1,아 아 아니에요
6,1,탈옥범 아니에요
7,1,딴 거 아니에요
8,1,한 삼백만 원은 모을 거 아니에요
9,1,이회창씨가 해군 장교 출신 아니에요
10,1,남 남 일이 아니에요
11,1,아니에요
13,1,학교 때 여러 번 했으면 니두 지금 그거 하고 있어서 널널하게 지낼 거 아니에요
14,1,그 나라 거 아니에요
15,1,아무 일 아니에요
17,1,그럼 또 우리 저녁쯤에는 형 또 아침일 거 아니에요
18,1,쌀 먹으면 비슷할 거 아니에요
19,1,분명히 하구서 난 사람도 있을 거 아니에요
20,1,위가 안 좋은 거 아니에요
21,1,제가 같이 무시당하는 거 아니에요
22,1,두 번째 말하는 거는 두 번째 시간에 하는 거는 서로 짤 거 아니에요
23,1,그런 거 아니에요
24,1,사실 그렇게 어려운 부분은 아니에요
25,1,아니에요
26,1,저작권자가 아니에요
27,1,억쎄스로도 읽을 거 뭐 여러 가지로 읽을 거 아니에요
28,1,다른 체계 아니에요
29,1,이걸 활용해서 돈을 벌 수 있는 처지가 아니에요
30,1,아니에요
31,1,면 아니에요
34,1,아니에요
36,1,그 정돈 아니에요
37,1,혹시 그거 비싼 거 아니에요
39,1,철 철들 때도 아니에요
40,1,아니 조금이라도 있을 거 아니에요
42,1,거 원조교제 아니에요
45,1,근데 그거 오빠 다 구워서 다 주는 게 아니에요
46,1,방팅 해서 만난 사람 아니에요
47,1,사귀는 거 아니에요
48,1,아저씨 아니에요
0,1,피치 정보에요
1,1,정육점이에요
2,1,오렌지색은 지금 요 색이 약간 펄감이 있는 제품이에요
3,1,약간 립스틱 느낌으로 바를 수 있는 제품이에요
4,1,또 우리 집이 전철 종점이에요
5,1,이제 후반전도 중반이에요
6,1,학기 중에요
7,1,지금 파악 중이에요
8,1,언니가 어 나하고 똑같은 그러한 중학생이에요
9,1,저 지방에요
10,1,집에요
11,1,예를 들면 제가 여기 이렇게 서 있으면 여기가 집이에요
12,1,주로 측두엽 쪽이에요
13,1,아니 차에요
14,1,무슨 차이점이에요
15,1,아까 참에요
16,1,비원이 창덕궁이에요
17,1,우리는 원 채널이에요
18,1,써브 우퍼 스피커란 거기 해서 오 점 일 채널이에요
19,1,그럼 여기서 비교까지 다 하는 챕터에요
20,1,처음에요
23,1,처음이에요
24,1,처음이에요
25,1,천만에요
26,1,한글은 만 천백칠십이자에요
27,1,가 각 간 갈 이렇게 해 가지구 다 하면은 만 천백칠십이자에요
28,1,요게 이제 그 바코드 체계에요
29,1,세 명의 그 유명한 예술가 중에 한 사람이 바로 최립이에요
30,1,폴란드 국가 대표 출신이에요
31,1,뭐가 충격이에요
32,1,구십구 점 칠이에요
33,1,어째서 칼자국이에요
34,1,어 씨오 점 케이알이에요
35,1,또 코너킥이에요
37,1,이게 인제 베타 테입이에요
38,1,고게 토탈이에요
39,1,근데 통이빨이긴 통이빨이에요
40,1,수학은 툴이에요
41,1,요게 한국어의 특징이에요
42,1,나의 특징이에요
43,1,그런데 거기에 비해서 글은 한번 써 놓으면 그 종이를 찢거나 불태우기 전에는 계속해서 남아 있는 것이 특징이에요
44,1,파란색이에요
45,1,다 팔이 팔삼이에요
46,1,안 써 주는 편이에요
47,1,덥 덥 선희도 좀 느린 편이에요
48,1,좀 있는 편이에요
49,1,걔가 원하는 거 하나 딱 같이 해서 사 주는 편이에요
0,1,괜찮겠죠
1,1,괜찮죠
2,1,어 진짜 그거 괜찮죠
3,1,와 그것도 괜찮죠
4,1,그럼 괴롭죠
5,1,이게 무슨 구조였죠
6,1,인제 주심의 의도는 그거죠
